District Name,County Name,Enrollment 2009-2010,Enrollment 2014-1015,5 year enrollment change,5 year enrollment change percent,I&S Tax Rate 2004,I&S Tax Rate 2014,2015 State Aid EDA,2015 Local Share EDA,2015 State Aid IFA,2015 Local Share IFA,2014 Debt Principal,2014 Debt Interest,2014 Total Debt Outstanding,Wealth per WADA,Chapter 41 2015/16
ALDINE ISD,HARRIS COUNTY,2792.00,69716.00,6924.00,0.11,0.11,0.15,6391474.00,12516223.00,5131601.00,11068166.00,398180000.00,179601138.00,577781138.00,188168.00,No
ALLEN ISD,COLLIN COUNTY,18242.00,20663.00,2421.00,0.13,0.43,0.48,0.00,20185815.00,0.00,1168822.00,499128037.00,303842531.00,802970568.00,375581.00,Yes
ALVIN ISD,BRAZORIA COUNTY,16788.00,20866.00,4078.00,0.24,0.23,0.38,7042243.00,12791622.00,582652.00,1359143.00,461390000.00,226822816.00,688212816.00,180690.00,No
ANDREWS ISD,ANDREWS COUNTY,3143.00,4015.00,872.00,0.28,0.19,0.11,0.00,1850773.00,0.00,0.00,28296408.00,4433123.00,32729531.00,1347870.00,Yes
ANNA ISD,COLLIN COUNTY,2246.00,2874.00,628.00,0.28,0.34,0.50,1145686.00,1629266.00,674422.00,888222.00,90335024.00,121115312.00,211450336.00,170700.00,No
BARBERS HILL ISD,CHAMBERS COUNTY,4121.00,4903.00,782.00,0.19,0.29,0.27,0.00,4727008.00,0.00,0.00,208798771.00,91473829.00,300272600.00,827707.00,Yes
BASTROP ISD,BASTROP COUNTY,8936.00,9928.00,992.00,0.11,0.24,0.40,649598.00,5750873.00,386428.00,5084221.00,171338836.00,180133472.00,351472308.00,248559.00,No
BELTON ISD,BELL COUNTY,8859.00,10542.00,1683.00,0.19,0.24,0.27,2866635.00,5459532.00,331595.00,625775.00,130089996.00,79619281.00,209709278.00,187932.00,No
BOERNE ISD,KENDALL COUNTY,6392.00,7493.00,1101.00,0.17,0.17,0.25,0.00,6651884.00,0.00,0.00,187182928.00,159287110.00,346470038.00,597154.00,Yes
BRIDGE CITY ISD,ORANGE COUNTY,2486.00,2818.00,332.00,0.13,0.26,0.15,0.00,911733.00,10269.00,639276.00,17584734.00,9158172.00,26742906.00,266735.00,No
BURLESON ISD,JOHNSON COUNTY,9896.00,10983.00,1087.00,0.11,0.25,0.50,865141.00,9711449.00,193611.00,2173279.00,304395852.00,276773928.00,581169780.00,274225.00,No
CASTLEBERRY ISD,TARRANT COUNTY,3641.00,4076.00,435.00,0.12,0.18,0.23,1143643.00,600909.00,868948.00,477841.00,46909998.00,25520534.00,72430531.00,89575.00,No
CHAPEL HILL ISD,SMITH COUNTY,3215.00,3540.00,325.00,0.10,0.11,0.17,28308.00,1198360.00,6897.00,715993.00,19245000.00,8219533.00,27464533.00,242127.00,No
COLLEGE STATION ISD,BRAZOS COUNTY,10102.00,12534.00,2432.00,0.24,0.27,0.34,0.00,11748503.00,0.00,1182105.00,278045000.00,130961761.00,409006761.00,493799.00,Yes
COMAL ISD,COMAL COUNTY,16700.00,20327.00,3627.00,0.22,0.32,0.35,0.00,19575987.00,0.00,0.00,475788425.00,379312588.00,855101013.00,510036.00,Yes
CONROE ISD,MONTGOMERY COUNTY,49629.00,56363.00,6734.00,0.14,0.23,0.24,0.00,48020387.00,0.00,398132.00,978090000.00,511856348.00,1489946348.00,401654.00,Yes
COPPELL ISD,DALLAS COUNTY,9982.00,11570.00,1588.00,0.16,0.24,0.28,0.00,10075981.00,0.00,0.00,218772323.00,239265526.00,458037849.00,665217.00,Yes
CRANDALL ISD,KAUFMAN COUNTY,2774.00,3297.00,523.00,0.19,0.27,0.48,1574222.00,1590063.00,648504.00,655022.00,42675259.00,47784422.00,90459681.00,139166.00,No
CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,104231.00,113023.00,8792.00,0.08,0.29,0.40,0.00,107766069.00,0.00,0.00,1853343390.00,1029812183.00,2883155573.00,310796.00,No
DEL VALLE ISD,TRAVIS COUNTY,10158.00,11727.00,1569.00,0.15,0.31,0.43,671389.00,10161415.00,77894.00,1060106.00,145644999.00,59781892.00,205426891.00,235138.00,No
DENTON ISD,DENTON COUNTY,22825.00,27020.00,4195.00,0.18,0.36,0.50,0.00,25664072.00,0.00,0.00,750941832.00,601999735.00,1352941566.00,349026.00,Yes
DICKINSON ISD,GALVESTON COUNTY,8878.00,10418.00,1540.00,0.17,0.24,0.50,1774527.00,7983524.00,0.00,0.00,274623778.00,171337973.00,445961751.00,231419.00,No
DRIPPING SPRINGS ISD,HAYS COUNTY,4331.00,5421.00,1090.00,0.25,0.26,0.48,0.00,5202063.00,0.00,189394.00,203864999.00,118387371.00,322252369.00,492489.00,Yes
EAGLE MT-SAGINAW ISD,TARRANT COUNTY,16126.00,18659.00,2533.00,0.16,0.33,0.37,0.00,17843452.00,111373.00,3960778.00,560429533.00,429091740.00,989521273.00,298847.00,No
ECTOR COUNTY ISD,ECTOR COUNTY,27435.00,31971.00,4536.00,0.17,0.07,0.12,0.00,8731259.00,0.00,0.00,188024942.00,131394074.00,319419016.00,391269.00,Yes
FORNEY ISD,KAUFMAN COUNTY,7813.00,8995.00,1182.00,0.15,0.26,0.50,1867586.00,6713668.00,1214820.00,3713784.00,281746438.00,440182064.00,721928503.00,237135.00,No
FORT WORTH ISD,TARRANT COUNTY,80209.00,85975.00,5766.00,0.07,0.16,0.28,2305435.00,72017164.00,0.00,0.00,747639995.00,291428549.00,1039068544.00,258481.00,No
FRENSHIP ISD,LUBBOCK COUNTY,7342.00,8825.00,1483.00,0.20,0.27,0.48,512435.00,8028912.00,80929.00,2555062.00,208469389.00,148765652.00,357235041.00,280104.00,No
FRISCO ISD,COLLIN COUNTY,33973.00,49644.00,15671.00,0.46,0.28,0.42,0.00,48627262.00,0.00,933751.00,1524710843.00,1320758759.00,2845469602.00,363768.00,Yes
GONZALES ISD,GONZALES COUNTY,2532.00,2800.00,268.00,0.11,0.06,0.08,0.00,8152.00,0.00,566258.00,16745000.00,9386412.00,26131412.00,650704.00,Yes
GOOSE CREEK CISD,HARRIS COUNTY,20954.00,23169.00,2215.00,0.11,0.18,0.39,0.00,21756951.00,0.00,0.00,445048683.00,224499275.00,669547957.00,327125.00,Yes
HALLSVILLE ISD,HARRISON COUNTY,4265.00,4824.00,559.00,0.13,0.14,0.34,0.00,4607610.00,0.00,0.00,86015000.00,26422712.00,112437712.00,422987.00,Yes
HAYS CONS ISD,HAYS COUNTY,14649.00,17948.00,3299.00,0.23,0.36,0.50,4755531.00,12299609.00,1453953.00,3536445.00,328155000.00,184415273.00,512570273.00,207483.00,No
HOUSTON ISD,HARRIS COUNTY,202773.00,215225.00,12452.00,0.06,0.15,0.17,0.00,103473431.00,0.00,0.00,2246287252.00,1100413779.00,3346701031.00,523959.00,Yes
HUMBLE ISD,HARRIS COUNTY,34923.00,39522.00,4599.00,0.13,0.24,0.35,6633117.00,31159501.00,363956.00,2364765.00,573755000.00,295956614.00,869711614.00,253100.00,No
HUTTO ISD,WILLIAMSON COUNTY,5137.00,6187.00,1050.00,0.20,0.28,0.50,1513975.00,4431381.00,519129.00,1256196.00,168981175.00,209085442.00,378066616.00,234249.00,No
KATY ISD,HARRIS COUNTY,59078.00,70330.00,11252.00,0.19,0.37,0.40,0.00,68027509.00,0.00,9320618.00,1194692484.00,759607074.00,1954299558.00,326136.00,Yes
KLEIN ISD,HARRIS COUNTY,44824.00,49402.00,4578.00,0.10,0.20,0.35,7156987.00,39321114.00,2308266.00,13274440.00,753090000.00,443265575.00,1196355575.00,253832.00,No
LAKE TRAVIS ISD,TRAVIS COUNTY,6577.00,8833.00,2256.00,0.34,0.30,0.37,0.00,8548909.00,0.00,0.00,277933303.00,182253606.00,460186909.00,843712.00,Yes
LAMAR CONSOLIDATED ISD,FORT BEND COUNTY,23864.00,28332.00,4468.00,0.19,0.20,0.35,0.00,27090531.00,0.00,0.00,629325000.00,441856918.00,1071181918.00,333023.00,Yes
