Region,County,District,District Name,Row,Staff,FTE Count,Total Base Pay,Average Base Pay
7,ANDERSON COUNTY,1902,CAYUGA ISD,10002,PRE-KINDERGARTEN,0.50,24695.00,49390.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10003,KINDERGARTEN,3.00,139754.00,46585.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10006,ELEMENTARY (GRADES 1-6),2.05,90256.00,44045.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),1.85,87985.00,47678.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10009,ALL GRADE LEVELS,2.25,108352.00,48116.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10012,GRADE 1,3.77,162039.00,42950.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10013,GRADE 2,2.18,95478.00,43761.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10014,GRADE 3,3.77,153201.00,40608.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10015,GRADE 4,2.55,115844.00,45470.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10016,GRADE 5,3.27,153878.00,47011.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10017,GRADE 6,3.78,178293.00,47180.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10018,GRADE 7,2.93,137320.00,46830.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10019,GRADE 8,2.96,135388.00,45730.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,10020,GRADES 9-12,19.11,842446.00,44083.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,19998,TOTAL TEACHING STAFF,53.98,2424929.00,44925.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,21300,COUNSELOR,1.00,55910.00,55910.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,21800,EDUCATIONAL DIAGNOSTICIAN,6.00,321222.00,53541.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,22100,LIBRARIAN,0.52,26811.00,51215.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,22200,LSSP/PSYCHOLOGIST,5.00,222141.00,44427.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,22800,OTHR NON-INSTR DISTRICT,1.50,89119.00,59413.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,23500,SCHOOL NURSE,1.00,47250.00,47255.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,23800,SPEECH THRPST/SPEECH-LANG PATH,5.00,230931.00,46185.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,24700,WORK-BASED LEARNING SITE COOR,1.00,48694.00,48694.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,29998,TOTAL SUPPORT STAFF,21.02,1042078.00,49568.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,30500,ATHLETIC DIRECTOR,0.50,37934.00,75868.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,31600,DIST INSTR PGM DIR OR EXC DIR,1.00,82332.00,82332.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,33100,PRINCIPAL,2.50,173988.00,69595.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,94462.00,94462.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,34100,TAX ASSESSOR AND/OR COLLECTOR,0.50,21701.00,43402.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,34500,TEACHER SUPERVISOR,1.00,55509.00,55509.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,39998,TOTAL ADMINISTRATIVE STAFF,6.50,465926.00,71681.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,39999,TOTAL PROFESSIONAL STAFF,81.50,3932933.00,48257.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,41700,EDUCATIONAL AIDE,37.69,571312.00,15158.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,49998,TOTAL PARAPROFESSIONAL STAFF,37.69,571312.00,15158.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,50000,AUXILIARY,28.65,594005.00,20731.00
7,ANDERSON COUNTY,1902,CAYUGA ISD,99999,TOTAL PERSONNEL,147.84,5098250.00,34484.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10002,PRE-KINDERGARTEN,3.13,141272.00,45146.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10003,KINDERGARTEN,6.96,276900.00,39804.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10006,ELEMENTARY (GRADES 1-6),1.20,47490.00,39565.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),3.02,132693.00,43996.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10009,ALL GRADE LEVELS,7.10,319470.00,44965.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10012,GRADE 1,5.35,206056.00,38535.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10013,GRADE 2,4.30,169499.00,39385.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10014,GRADE 3,6.36,283757.00,44650.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10015,GRADE 4,6.36,260017.00,40914.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10016,GRADE 5,6.36,244712.00,38506.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10017,GRADE 6,6.44,227183.00,35279.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10018,GRADE 7,6.85,285602.00,41674.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10019,GRADE 8,4.99,222712.00,44612.00
7,ANDERSON COUNTY,1903,ELKHART ISD,10020,GRADES 9-12,32.31,1411440.00,43679.00
7,ANDERSON COUNTY,1903,ELKHART ISD,19998,TOTAL TEACHING STAFF,100.72,4228803.00,41985.00
7,ANDERSON COUNTY,1903,ELKHART ISD,21300,COUNSELOR,3.00,160018.00,53339.00
7,ANDERSON COUNTY,1903,ELKHART ISD,22100,LIBRARIAN,1.00,45060.00,45060.00
7,ANDERSON COUNTY,1903,ELKHART ISD,22600,OTHER CAMP PROF PERSONNEL,1.00,48770.00,48770.00
7,ANDERSON COUNTY,1903,ELKHART ISD,22800,OTHR NON-INSTR DISTRICT,3.00,169847.00,56616.00
7,ANDERSON COUNTY,1903,ELKHART ISD,23500,SCHOOL NURSE,1.00,29145.00,29145.00
7,ANDERSON COUNTY,1903,ELKHART ISD,24700,WORK-BASED LEARNING SITE COOR,0.29,14552.00,50917.00
7,ANDERSON COUNTY,1903,ELKHART ISD,29998,TOTAL SUPPORT STAFF,9.29,467392.00,50334.00
7,ANDERSON COUNTY,1903,ELKHART ISD,30200,ASSISTANT PRINCIPAL,1.00,61986.00,61986.00
7,ANDERSON COUNTY,1903,ELKHART ISD,31600,DIST INSTR PGM DIR OR EXC DIR,1.00,68755.00,68755.00
7,ANDERSON COUNTY,1903,ELKHART ISD,33100,PRINCIPAL,4.00,258550.00,64638.00
7,ANDERSON COUNTY,1903,ELKHART ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,115335.00,115335.00
