CAD #,CAD Name,ISD #,ISD Name,Market Value,Taxable Value for M&O Purposes,Taxable Value for I&S Purposes,Effective Tax Rate,Rollback Tax Rate,M&O Tax Rate,I&S Tax Rate,Total Tax Rate,Tax Levy (calculated) 
1,Anderson,001-902,Cayuga Independent School District,502011423.00000,273783790.00000,273783790.00000,1.07880,1.04010,1.04000,0.00000,1.04000,2847351.00000
1,Anderson,001-903,Elkhart Independent School District,498049861.00000,302731988.00000,302731988.00000,1.26940,1.36000,1.17000,0.19000,1.36000,4117155.00000
113,Houston,001-903,Elkhart Independent School District,17243570.00000,2963534.00000,2963534.00000,1.26940,1.36000,1.17000,0.19000,1.36000,40304.00000
1,Anderson,001-904,Frankston Independent School District,280775813.00000,170359677.00000,170359677.00000,1.49000,1.57270,1.17000,0.36000,1.53000,2606503.00000
107,Henderson,001-904,Frankston Independent School District,132518725.00000,84167694.00000,84167694.00000,1.49000,1.57270,1.17000,0.36000,1.53000,1287766.00000
1,Anderson,001-906,Neches Independent School District,216841531.00000,120595186.00000,120595186.00000,1.28511,1.32840,1.04000,0.28840,1.32840,1601986.00000
1,Anderson,001-907,Palestine Independent School District,1388274888.00000,1013830744.00000,1013830744.00000,1.58450,1.61279,1.17000,0.39600,1.56600,15876589.00000
1,Anderson,001-908,Westwood Independent School District,581717396.00000,436833769.00000,436833769.00000,1.17954,1.17000,1.17000,0.00000,1.17000,5110955.00000
1,Anderson,001-909,Slocum Independent School District,305774818.00000,123263496.00000,123263496.00000,1.03000,1.18800,1.04000,0.14800,1.18800,1464370.00000
2,Andrews,002-901,Andrews Independent School District,7132525304.00000,6746007372.00000,6746007372.00000,1.00050,1.17000,1.06000,0.11000,1.17000,78928286.00000
3,Angelina,003-902,Hudson Independent School District,622556166.00000,443925210.00000,443925210.00000,1.21946,1.26457,1.17000,0.09000,1.26000,5593458.00000
3,Angelina,003-903,Lufkin Independent School District,2844757248.00000,2260384846.00000,2260384846.00000,1.21290,1.23256,1.04000,0.17300,1.21300,27418468.00000
3,Angelina,003-904,Huntington Independent School District,552523660.00000,228741373.00000,228741373.00000,1.40660,1.45850,1.17000,0.28000,1.45000,3316750.00000
3,Angelina,003-905,Diboll Independent School District,456466706.00000,276972043.00000,276972043.00000,1.25402,1.28086,1.17000,0.11000,1.28000,3545242.00000
3,Angelina,003-906,Zavalla Independent School District,242897287.00000,96507281.00000,96507281.00000,1.45280,1.49240,1.17000,0.32060,1.49060,1438538.00000
3,Angelina,003-907,Central Independent School District,445533418.00000,262917339.00000,262917339.00000,1.32595,1.33842,1.17000,0.16000,1.33000,3496801.00000
4,Aransas,004-901,Aransas County Independent School District,3021457014.00000,2659571639.00000,2659571639.00000,1.12076,1.15609,1.04005,0.11604,1.15609,30747095.00000
5,Archer,005-901,Archer City Independent School District,779612137.00000,455135186.00000,455135186.00000,1.21500,1.11000,1.04000,0.07000,1.11000,5052001.00000
5,Archer,005-902,Holliday Independent School District,486073215.00000,288673944.00000,288673944.00000,1.45141,1.48030,1.04000,0.44000,1.48000,4272374.00000
243,Wichita,005-902,Holliday Independent School District,47074914.00000,37777521.00000,37777521.00000,1.45141,1.48030,1.04000,0.44000,1.48000,559107.00000
5,Archer,005-904,Windthorst Independent School District,116493115.00000,62544307.00000,62544307.00000,1.41142,1.42774,1.17000,0.12000,1.29000,806822.00000
39,Clay,005-904,Windthorst Independent School District,35173090.00000,13622822.00000,13622822.00000,1.41142,1.42774,1.17000,0.12000,1.29000,175734.00000
6,Armstrong,006-902,Claude Independent School District,545215180.00000,179587124.00000,179587124.00000,0.90670,0.94670,0.95000,0.08400,1.03400,1856931.00000
7,Atascosa,007-901,Charlotte Independent School District,423371679.00000,258055059.00000,258055059.00000,1.01064,1.15910,1.04000,0.11900,1.15900,2990858.00000
82,Frio,007-901,Charlotte Independent School District,53390020.00000,28598197.00000,28598197.00000,1.01064,1.15910,1.04000,0.11900,1.15900,331453.00000
7,Atascosa,007-902,Jourdanton Independent School District,1054553332.00000,801683601.00000,801683601.00000,0.99700,1.17000,1.17000,0.00000,1.17000,9379698.00000
